"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"4907","GRASP",17,19,16,7,22,16
"4908","GRB10",121,118,79,65,100,61
"4909","GRB14",944,1069,966,824,1223,873
"4910","GRB2",985,1083,1258,1030,1139,822
"4911","GRB7",307,411,251,302,676,395
"4912","GREM1",4,8,3,0,8,3
"4913","GREM2",505,634,335,99,83,44
"4914","GRHL2",25,13,19,10,9,7
"4915","GRHL3",6,0,2,4,6,2
"4916","GRHPR",4572,6208,4981,4633,6773,4120
"4917","GRIA2",22,13,5,9,19,5
"4918","GRIA3",154,95,153,77,46,48
"4919","GRIA4",2,2,8,10,8,1
"4920","GRID1",0,0,0,0,2,0
"4921","GRID2",0,0,0,0,0,0
"4922","GRID2IP",0,2,0,3,0,0
"4923","GRIFIN",0,0,0,0,0,0
"4924","GRIK1",0,0,0,0,0,0
"4925","GRIK2",0,0,0,1,1,1
"4926","GRIK3",5,2,3,3,3,1
"4927","GRIK4",1,4,1,1,0,0
"4928","GRIK5",23,20,20,19,31,12
"4929","GRIN1",0,0,0,0,0,0
"4930","GRIN2A",5,0,2,0,0,0
"4931","GRIN2B",0,0,0,0,0,0
"4932","GRIN2C",16,22,12,1,4,4
"4933","GRIN2D",7,9,9,4,8,4
"4934","GRIN3A",0,0,0,0,0,0
"4935","GRIN3B",2,1,3,5,14,4
"4936","GRINA",2331,3976,2421,2176,4385,2865
"4937","GRIP1",0,0,0,0,0,0
"4938","GRIP2",0,1,0,1,3,0
"4939","GRIPAP1",325,376,343,298,413,311
"4940","GRK1",0,0,0,0,0,0
"4941","GRK4",11,29,18,19,24,21
"4942","GRK5",57,68,70,84,85,55
"4943","GRK6",297,320,320,282,424,298
"4944","GRM1",0,0,0,0,0,0
"4945","GRM2",0,0,0,0,0,0
"4946","GRM3",0,0,0,0,0,0
"4947","GRM4",0,0,0,0,1,1
"4948","GRM5",0,0,1,0,0,1
"4949","GRM6",0,0,0,0,0,0
"4950","GRM7",0,0,0,0,0,0
"4951","GRM8",0,0,0,0,0,0
"4952","GRN",1364,1385,1434,1245,2120,1348
"4953","GRP",0,0,0,0,0,0
"4954","GRPCA",0,0,0,0,0,0
"4955","GRPCB",0,0,0,0,0,0
"4956","GRPEL1",1144,1397,1300,892,1318,1089
"4957","GRPEL2",192,233,257,73,316,209
"4958","GRPR",0,0,0,0,0,0
"4959","GRRP1",11,28,14,5,14,14
"4960","GRSF1",1045,1174,1225,868,1174,902
"4961","GRTP1",41,36,41,57,91,49
"4962","GRWD1",154,235,199,155,268,201
"4963","GRXCR1",0,0,1,0,0,0
"4964","GRXCR2",0,0,0,0,0,0
"4965","GSC",0,0,0,0,0,0
"4966","GSC2",0,0,0,0,0,0
"4967","GSDMA",1,0,0,0,0,0
"4968","GSDMC",0,0,0,0,0,1
"4969","GSDMD",233,212,310,254,196,166
"4970","GSG1",0,0,0,0,0,0
"4971","GSK3A",325,415,368,224,423,301
"4972","GSK3B",137,187,134,141,263,162
"4973","GSN",101,148,132,85,130,55
"4974","GSPT1",1307,1738,1370,1149,1628,1222
"4975","GSPT2",6,4,6,8,3,4
"4976","GSR",1247,2592,1533,937,1342,965
"4977","GSS",684,1132,883,477,1015,669
"4978","GSTA2",23214,41316,29065,12272,5780,3130
"4979","GSTA3",14645,17708,22459,10600,9177,6443
"4980","GSTA4",1399,1945,1405,793,657,428
"4981","GSTA5",1642,2113,2070,109,118,52
"4982","GSTCD",63,61,83,57,40,36
"4983","GSTK1",815,968,1144,881,910,532
"4984","GSTM1",30177,49455,38514,13801,12661,7718
"4985","GSTM2",8258,9056,5751,6797,4624,4144
"4986","GSTM3",5,22,15,14,23,35
"4987","GSTM4",810,1553,1226,485,563,302
"4988","GSTM5",28,33,7,25,12,21
"4989","GSTM6",9,15,4,15,17,20
"4990","GSTM6L",0,0,0,0,0,0
"4991","GSTM7",1136,1587,1195,1339,965,674
"4992","GSTO1",1209,1614,1248,1041,1085,788
"4993","GSTO2",26,22,18,16,9,15
"4994","GSTP1",1117,3956,6068,111,169,112
"4995","GSTT1",675,707,925,383,314,189
"4996","GSTT2",1273,1272,1618,823,1255,745
"4997","GSTT3",5882,3081,5944,2110,675,768
"4998","GSTT4",0,0,0,0,0,0
"4999","GSX1",0,0,0,0,0,0
"5000","GSX2",0,0,0,0,0,0
"5001","GTDC1",64,90,113,64,68,67
"5002","GTF2A1",64,80,69,72,107,51
"5003","GTF2A1L",0,2,2,0,0,0
"5004","GTF2A2",92,87,85,51,72,64
"5005","GTF2B",265,238,204,187,375,245
"5006","GTF2E1",92,108,89,62,80,85
"5007","GTF2E2",236,279,259,200,256,206
"5008","GTF2F1",180,249,200,134,205,149
"5009","GTF2F2",90,140,101,78,126,83
"5010","GTF2H1",329,529,380,275,526,398
"5011","GTF2H2",93,105,111,69,101,66
"5012","GTF2H3",124,118,121,86,103,72
